ATTRIBUTE NAME,DATA CATEGORY,PII CATEGORY,PII SUBCATEGORY,DEFINITION,DERIVATION TYPE,DATA TYPE,SAMPLE VALUES,DATA OWNER,FREQUENCY OF REFRESH,LATENCY,BRAND,CFU,SUBJECT AREA,REDSHIFT TABLE
segment_id,Globe ID,Non-PII,Non-PII,"Combination of all corresponding keys of subscriber's brand, sub-brand, customer type, customer sub type and product type in number format, which is then to be used in lookup table. Primarily being used by DPA as CFU identifier",Direct Pull,integer,1,DPA,Daily,,"GHP, GHP-PREPAID, TM, PW","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
product_type_description,Globe ID,Non-PII,Non-PII,Description of subscriber's product type,Direct Pull,varchar(1000),GSM-PBX,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",product,product_profile
brand_type_code,Globe ID,Non-PII,Non-PII,"Brand to which subscriber has been tagged. Values are GHP-PREPAID, GHP, TM, PW, WIRELINE, BAYAN and GLOBE",Direct Pull,varchar(1000),TM,EDO-UUP,Daily,day-1,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
international_traveller_indicator,Behavioral,Non-PII,Non-PII,Derived indicator if a subscriber is an international traveler based on promo availment and usage.,Derived,boolean,TRUE,DPA,Daily,,"GHP, GHP-PREPAID, TM","Consumer, EG, SG, In house, IBG Traveler",availment,availment_profile
active_days_past_2days_indicator,Behavioral,Non-PII,Non-PII,Indicator if a subscriber is active for the past 2 days based on promo availment and topup activities.,Derived,boolean,TRUE,FVT,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",usage,usage_profile
availment_enhanced_past_4_clmweeks_indicator,Campaign History,Non-PII,Non-PII,Indicator if a subscriber has an overlapping promo availment on top of his/her any existing promo for the past 4 weeks.,Derived,boolean,TRUE,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",availment,availment_profile
gcash_user_indicator,Behavioral,Non-PII,Non-PII,"Indicates that the subscriber is a registered GCASH user. Flags subscriber as true if subscriber is a registered GCASH user, else false",Direct Pull,boolean,TRUE,EDO-DI,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO","Consumer, EG, SG, In house, IBG Traveler",product,product_profile
lock_in_end_date,Globe ID,Non-PII,Non-PII,Contract expiry date of the subscriber. Format: YYYY-MM-DD,Direct Pull,timestamp,40131.52979,EDO-UUP,Daily,,"GHP, WIRELINE","Consumer, EG, SG, In house",contract,contract_profile
last_core_ppu_date,Behavioral,Non-PII,Non-PII,Latest core pay-per-use date for past 90 days,Derived,timestamp,38197,FVT,Daily,,"GHP, GHP-PREPAID, TM, PW, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",usage,usage_profile
arpu_category_code,Profitability,Non-PII,Non-PII,"Code that refers to the average revenue per user/subscriber
 Postpaid: One-time Charge + Recurring Charge + Usage Charge 
 Prepaid: promo registration + Pay-per-use + credit expired
 
 e.g. A - Php 8,000 and up 
 B - Php 7,000 to Php 7,999 
 C - Php 6000 to Php 6999 
 D - Php 5000 to Php 5999 
 E - Php 4000 to Php 4999 
 F - Php 3000 to Php 3999 
 G - Php 2000 to Php 2999 
 H - Php 1,000 to Php 1,999 
 I - Php 300 to Php 999 
 J - below Php 300",Derived,varchar(1000),A,EDO-DI,Monthly,,"GHP, GHP-PREPAID, TM, PW, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",revenue,revenue_profile
last_data_ppu_date,Behavioral,Non-PII,Non-PII,Latest data pay-per-use date for past 90 days,Derived,timestamp,40417.48922,FVT,Daily,,"GHP, GHP-PREPAID, TM, PW","Consumer, EG, SG, In house, IBG Traveler",usage,usage_profile
last_promo_reg_date,Campaign History,Non-PII,Non-PII,Latest promo registration date availed by the subscriber for past 90 days,Derived,timestamp,40155.461,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",availment,availment_profile
last_promo_reg_name,Campaign History,Non-PII,Non-PII,Latest promo registered name availed by the subscriber for past 90 days,Derived,varchar(1000),COMBO15_TM_GOYA15,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",availment,availment_profile
reload_average_txn_interval_rolling_90_days,Behavioral,Non-PII,Non-PII,Subscriber's average no. of days in between top-ups for the past 90 days,Derived,integer,9,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
previous_payment_category_key,Globe ID,Non-PII,Non-PII,Carrier plan type description of migrated or re-assigned subscriber,Direct Pull,varchar(1000),POST,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house",payment,payment_profile
previous_subscriber_key,Globe ID,Non-PII,Non-PII,Previous subscriber identifier for migrated or re-assigned subscriber,Direct Pull,varchar(1000),941000000,EDO-UUP,Daily,,"GHP, WIRELINE","Consumer, EG, SG, In house",customer,customer_profile
primary_resource_type_key,Globe ID,Non-PII,Non-PII,"The type(s) of data resource(s) associated to a subscriber
 Valid Values:
 DUO - Duo Number
 EFAX - EFAX
 I - IMSI number
 IP - IP Address
 LTP - Load Tipid Plan
 P - Primo
 S - SIM card number
 SDIR - Super US Direct Number
 VOIP - VOIP Number
 C - Voice Line MSISDN",Direct Pull,varchar(1000),C,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
subscriber_status_reason_key,Globe ID,Non-PII,Non-PII,Reason code of the subscriber status change,Direct Pull,varchar(1000),14CREQ,DPA,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
reload_daily_average_rolling_90days_amount,Behavioral,Non-PII,Non-PII,Average top-up amount for the past 3 months (divided by distinct days with transactions),Derived,"numeric(21,2)",8.89,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
period_coverage_end_date,Customer PII,Non-PII,Non-PII,The end date of the billed period for the current invoice.,Direct Pull,timestamp,42354.33333,BB,Monthly,,"GHP, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house",invoice,invoice_profile
due_date,Customer PII,Non-PII,Non-PII,Due date of the subscriber's bill for the current billing cycle,Direct Pull,timestamp,40155.461,BB,Monthly,,"GHP, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house",invoice,invoice_profile
financial_activities_amount,Customer PII,Non-PII,Non-PII,"Total amount of the financial activities, including tax, for the completed billing cycle of a postpaid subscriber",Direct Pull,"numeric(38,2)",50,CBRM,Monthly,,"GHP, WIRELINE","Consumer, EG, SG, In house",invoice,invoice_profile
previous_balance_amount,Customer PII,Non-PII,Non-PII,Total amount due from the previous billing statement for postpaid or wireline subscriber,Direct Pull,"numeric(38,2)",2265.61,EDO-UUP,Monthly,,"GHP, WIRELINE","Consumer, EG, SG, In house",invoice,invoice_profile
total_amount,Customer PII,Non-PII,Non-PII,Total of all new charges and credits (including discounts) since the previous bill,Direct Pull,"numeric(38,2)",1499,CBRM,Monthly,,"GHP, WIRELINE","Consumer, EG, SG, In house",invoice,invoice_profile
total_due_amount,Customer PII,Non-PII,Non-PII,Total amount required to be paid by the subscriber,Direct Pull,"numeric(38,2)",1498.61,CBRM,Monthly,,"GHP, WIRELINE","Consumer, EG, SG, In house",invoice,invoice_profile
billing_offer_desc,Globe ID,Non-PII,Non-PII,Subscriber's Main Plan,Direct Pull,varchar(1000),ThePLAN 799,CBRM,Daily,,"GHP, GHP-PREPAID, PW, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",product,product_profile
msf,Globe ID,Non-PII,Non-PII,Monthly service fee of a subscriber (inclusive of tax),Direct Pull,"numeric(19,4)",133.1008,FVT,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",contract,contract_profile
spending_limit_amount,Customer PII,Non-PII,Non-PII,Subscription Spending Limit (SSL) Balance allowance between the subscriber's Credit Limit and all monthly recurring fees,Direct Pull,"numeric(38,2)",800,CBRM,Daily,,"GHP, GOMO, WIRELINE","Consumer, EG, SG, In house",customer,customer_profile
reload_daily_max_rolling_30days_amount,Behavioral,Non-PII,Non-PII,Maximum daily reload amount for the past rolling 30 days,Derived,"numeric(21,2)",460,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
postpaid_churn_propensity_score,Loyalty & Retention,Non-PII,Non-PII,Propensity of a postpaid subscriber to churn based on propensity score,Inferred,"numeric(19,15)",0.0049,MSH,Monthly,,GHP,Consumer,revenue,revenue_profile
postpaid_churn_propensity_decile,Loyalty & Retention,Non-PII,Non-PII,Propensity of a postpaid subscriber to churn based on propensity decile. 1 as the highest while 10 is the lowest.,Inferred,integer,1,MSH,Monthly,,GHP,Consumer,revenue,revenue_profile
sim_lte_capable_indicator,Behavioral,Non-PII,Non-PII,Indicator if a subcriber's issued sim card is LTE capable,Derived,boolean,TRUE,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW","Consumer, EG, SG, In house, IBG Traveler",product,product_profile
contract_type_code,Globe ID,Non-PII,Non-PII,Indicator that a subscriber's contract is locked-in to Globe or not,Derived,varchar(1000),OB,EDO-UUP,Daily,,"GHP, WIRELINE","Consumer, EG, SG, In house",contract,contract_profile
account_credit_limit,Customer PII,Non-PII,Non-PII,Financial Account Spending Limit (FASL)Used as a control which determines the allowable plan for the customer,Direct Pull,"numeric(38,2)",1796,CBRM,Daily,,"GHP, WIRELINE","Consumer, EG, SG, In house",financial_account,financial_account_profile
customer_credit_limit,Customer PII,Non-PII,Non-PII,"Customer Spending Limit (CSL)- Amount automatically assigned based on the Gross Monthly Income (GMI)
 - Maximum financial exposure Globe is willing to give customers based on PMI depending on the type of customer",Direct Pull,"numeric(38,2)",343.33,CBRM,Daily,,"GHP, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house",customer,customer_profile
mrf,Globe ID,Non-PII,Non-PII,"Monthly Recurring Fee of the subscriber, (base plan + other usage recurring charges) - based from actual incurred charges",Derived,"numeric(19,4)",3023,FVT,Monthly,,"GHP, WIRELINE","Consumer, EG, SG, In house",invoice,invoice_profile
handset_lte_capable_indicator,Behavioral,Non-PII,Non-PII,Indicator if a subscriber's handset device is LTE capable based from data usage for a month,Derived,boolean,TRUE,DPA,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",network,network_profile
gender_type_description,Customer PII - Masked,Customer PII - Masked,Confidential,Gender of a subscriber (Postpaid - Actual and Prepaid - inferred),Inferred,varchar(1000),Male,EDO-AA,"Daily
Monthly",,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
gross_monthly_income_amount,Customer PII,Non-PII,Non-PII,Gross monthly income earned by a subscriber,Direct Pull,"numeric(38,2)",20000,CBRM,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
bill_number,Behavioral,Non-PII,Non-PII,A unique sequence number identifying the record of Statement of Account (SOA),Direct Pull,varchar(1000),526000000,EDO-UUP,Monthly,,"GHP, WIRELINE","Consumer, EG, SG, In house",invoice,invoice_profile
customer_facing_unit_type_description,Globe ID,Non-PII,Non-PII,"The customer group in which the subscriber belongs to.
 Valid Values:
 Consumer
 Enterprise
 Small and Medium Business
 In House",Derived,varchar(1000),Consumer,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
customer_facing_unit_sub_type_description,Globe ID,Non-PII,Non-PII,"The customer sub-type group in which the subscriber belongs to.
 Valid Values:
 Consumer - Blue
 Consumer - Employee
 Consumer - Hybrid
 Consumer - Hybrid MVNO
 Consumer - Platinum
 Consumer - Platinum Blue
 Consumer - Platinum Elite
 Consumer - Platinum Premier
 Consumer - Regular
 Consumer - Super Home Phone / Home Phone
 Consumer - VIP
 Enterprise - Corporate
 Enterprise - Hybrid
 Enterprise - Individual
 IBG - Traveler
 In House - Executive
 In House - Regular
 SMB - Corp Partner
 SMB - Corp Preferred
 SMB - Corp Premium 1
 SMB - Corp Premium 2
 SMB - Individual Partner
 SMB - Individual VIP
 SMB - MA - Corporate
 SMB - MA - Individual
 SMB - MD - Corporate
 SMB - MD - Individual",Direct Pull,varchar(1000),Consumer - Regular,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
payment_date,Customer PII,Non-PII,Non-PII,Latest payment done by subscriber for past 30 days,Derived,timestamp,42354.33333,FVT CRM BB Postpaid,Daily,,"GHP, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house",payment,payment_profile
bill_email,Customer PII - Masked,Customer PII - Masked,Contact,Email address where the subscriber receives his/her monthly bill,Direct Pull,varchar(1000),ASDQF@YAHOO.COM,CBRM,Daily,,"GHP, WIRELINE","Consumer, EG, SG, In house",financial_account,financial_account_profile
customer_facing_unit_sub_type_code,Globe ID,Non-PII,Non-PII,"Unique indicator whether a subscriber is Platinum, Hybrid, Elite, Blue, Corporate, Regular and its code",Direct Pull,varchar(1000),R,EDO-UUP,Daily,day-1,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
subscriber_status_date,Globe ID,Non-PII,Non-PII,Date when the current subscriber status becomes effective,Direct Pull,timestamp,42354.33333,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
reload_daily_total_rolling_30days_amount,Behavioral,Non-PII,Non-PII,Total daily reload amount for the last rolling 30 days,Derived,"numeric(21,2)",9630,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
billing_delivery_mode_code,Globe ID,Non-PII,Non-PII,Unique code to indicate the billing delivery mode either email or physical billing of a subscriber,Direct Pull,varchar(1000),0E,CBRM,Daily,,"GHP, WIRELINE","Consumer, EG, SG, In house",financial_account,financial_account_profile
reload_latest_transaction_90days_date,Behavioral,Non-PII,Non-PII,Latest reload transaction date of subscriber within 90 days.,Derived,timestamp,40469.62163,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
contract_start_date,Globe ID,Non-PII,Non-PII,Contract start date of the postpaid subscriber,Direct Pull,timestamp,42354.33333,EDO-UUP,Daily,,"GHP, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house",contract,contract_profile
reload_max_tu_tra_rolling_30_days_amount,Behavioral,Non-PII,Non-PII,Maximum top-up amount for the past 30 days,Derived,"numeric(21,2)",100,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
reload_max_tu_tra_rolling_90_days_amount,Behavioral,Non-PII,Non-PII,Maximum top-up amount for the past 90 days,Derived,"numeric(21,2)",100,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
reload_mode_tu_tra_rolling_30_days_amount,Behavioral,Non-PII,Non-PII,Most frequent Top-up amount availed for the past 30 days,Derived,"numeric(21,2)",15,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
reload_mode_tu_tra_rolling_90_days_amount,Behavioral,Non-PII,Non-PII,Most frequent Top-up amount availed for the past 90 days,Derived,"numeric(21,2)",25,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
reload_monthly_average_rolling_90days_amount,Behavioral,Non-PII,Non-PII,Average top-up amount for the past rolling 90 days (divided by 3 months),Derived,"numeric(21,2)",289425,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
reload_most_availed_rolling_30days_amount,Behavioral,Non-PII,Non-PII,Amount of most availed reload of the subscriber within 30 days,Derived,"numeric(21,2)",370,FVT,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
home_barangay_name,Customer PII,Non-PII,Non-PII,Inferred barangay location from which the home address of the subscriber is found. The inferred location is pulled from the available latched cellsites data of the subscriber within the timeframe specified (10pm to 5am).,Inferred,varchar(1000),Caupasan (Pob.),EDO-AA,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",network,network_profile
home_city_name,Customer PII,Non-PII,Non-PII,Inferred city location from which the home address of the subscriber is found. The inferred location is pulled from the available latched cellsites data of the subscriber within the timeframe specified (10pm to 5am).,Inferred,varchar(1000),DANGLAS,EDO-AA,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",network,network_profile
home_province_name,Customer PII,Non-PII,Non-PII,Inferred province location from which the home address of the subscriber is found. The inferred location is pulled from the available latched cellsites data of the subscriber within the timeframe specified (10pm to 5am).,Inferred,varchar(1000),ABRA,EDO-AA,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",network,network_profile
home_region_name,Customer PII,Non-PII,Non-PII,Inferred region location from which the home address of the subscriber is found. The inferred location is pulled from the available latched cellsites data of the subscriber within the timeframe specified (10pm to 5am).,Inferred,varchar(1000),CAR - Cordillera Administrative Region,EDO-AA,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",network,network_profile
work_barangay_name,Customer PII,Non-PII,Non-PII,Inferred barangay location from which the work address of the subscriber is found. The inferred location is pulled from the available latched cellsites data of the subscriber within the timeframe specified (10am to 4pm).,Inferred,varchar(1000),Caupasan (Pob.),EDO-AA,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",network,network_profile
work_city_name,Customer PII,Non-PII,Non-PII,Inferred city location from which the work address of the subscriber is found. The inferred location is pulled from the available latched cellsites data of the subscriber within the timeframe specified (10am to 4pm).,Inferred,varchar(1000),DANGLAS,EDO-AA,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",network,network_profile
work_province_name,Customer PII,Non-PII,Non-PII,Inferred province location from which the work address of the subscriber is found. The inferred location is pulled from the available latched cellsites data of the subscriber within the timeframe specified (10am to 4pm).,Inferred,varchar(1000),ABRA,EDO-AA,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",network,network_profile
work_region_name,Customer PII,Non-PII,Non-PII,Inferred region location from which the work address of the subscriber is found. The inferred location is pulled from the available latched cellsites data of the subscriber within the timeframe specified (10am to 4pm).,Inferred,varchar(1000),CAR - Cordillera Administrative Region,EDO-AA,Monthly,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",network,network_profile
tenure_count,Loyalty & Retention,Non-PII,Non-PII,Tenure count of years from activation date of the subscriber to the current date,Derived,bigint,12,EDO-DI,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
owns_credit_card_indicator,Behavioral,Non-PII,Non-PII,Indicator for a subscriber who owns a credit card,Derived,boolean,TRUE,EDO-UUP,Daily,,"GHP, WIRELINE","Consumer, EG, SG, In house",payment,payment_profile
customer_email_address_text,Customer PII - Masked,Customer PII - Masked,Contact,Email address of the customer from the point of application,Direct Pull,varchar(1000),yeaurika@gmail.com,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
occupation_text,Demographic/Affluence,Non-PII,Non-PII,Occupation of the subscriber,Direct Pull,varchar(1000),HR MANAGER,MSH,Daily,,"GHP, GHP-PREPAID, TM, PW, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, IBG Traveler",customer,customer_profile
birth_date,Customer PII - Masked,Customer PII - Masked,Birthdate,Birth date of the subscriber,Direct Pull,timestamp,40469.62163,MSH,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
customer_id,Globe ID,Non-PII,Non-PII,The unique identifier of the customer,Direct Pull,varchar(1000),1024,EDO-UUP,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
first_name,Customer PII - Masked,Customer PII - Masked,Contact,First name of the subscriber,Direct Pull,varchar(1000),Juan,MSH,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
last_name,Customer PII - Masked,Customer PII - Masked,Contact,Last name of the subscriber,Direct Pull,varchar(1000),Dela Cruz,MSH,Daily,,"GHP, GHP-PREPAID, TM, PW, GOMO, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
middle_name,Customer PII - Masked,Customer PII - Masked,Contact,Middle name of the subscriber,Direct Pull,varchar(1000),Smith,MSH,Daily,,"GHP, GHP-PREPAID, TM, PW, WIRELINE, BAYAN, GLOBE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
prepaid_balance_status_code,Behavioral,Non-PII,Non-PII,"Prepaid balance status code. Indicates the subscriber prepaid balance status:
 O - Pre - Active
 Initial status after subscriber is created during the mass activation process. The sim and credit expiry date will be set based on defined policy and will be an input to the bulk pre-activation process.
 A - Active 
 Status will change from ‘pre-active’ to ‘active’ once subscriber has done a first access on the network (as defined in the prepaid activation triggers). Subscriber will have access to incoming and outgoing services (e.g. calls, texts, and data) that can be used accordingly based on relevant offers. The sim and credit expiry date will be reset based on defined policy.
 N - Near Credit Expiry
 Status will change x days before credit expiration date based on defined policy. Subscriber will still have access to incoming and outgoing services.
 Status will change to ‘Active‘ when subscriber does a recharge.
 G - Credit Expiry
 Status will change once credit expiry date defined in the policy has been reached.
 After credit expiry, remaining balance on the main account is zeroed out. Subscriber will still have access to outgoing services and will only be able to access defined emergency and free access numbers.
 Status will change to ‘Active‘ when subscriber does a recharge.
 S - Near Subscription Expiry
 Status will change x days after credit expiry based on defined policy. Subscriber will still have access to outgoing services and will only be able to access defined emergency and free access numbers. 
 Status will change to ‘Active‘ when subscriber does a recharge. 
 E - Expiry
 Status will change x days after credit expiry based on defined policy. Subscriber is permanently disconnected from the network and will not have access to any incoming and outgoing services.",Direct Pull,varchar(1000),O,EDO-UUP,Daily,,"GHP-PREPAID, TM, PW","Consumer, EG, SG, IBG Traveler",reload,reload_profile
owns_car_indicator,Behavioral,Non-PII,Non-PII,Indicator for a subscriber who owns a car,Derived,boolean,TRUE,EDO-UUP,Daily,,"GHP, WIRELINE","Consumer, EG, SG, In house, IBG Traveler",customer,customer_profile
